id,pose_in_world_frame,target_parent_frame
shelf_0,-4.4152800000000001 2.3069700000000002 0 0 0 0,world
shelf_1,-4.4152800000000001 5.30708 0 0 0 0,world
shelf_2,-4.4152800000000001 8.3435199999999998 0 0 0 0,world
shelf_3,5.6014400000000002 8.3435199999999998 0 0 0 0,world
shelf_4,5.6014400000000002 5.30708 0 0 0 0,world
shelf_5,5.6014400000000002 -0.69098700000000002 0 0 0 0,world
shelf_6,5.6014400000000002 2.3069700000000002 0 0 0 0,world
shelf_7,13.3818 -21.241599999999998 0 0 0 0,world
shelf_8,13.3818 -19.002800000000001 0 0 0 0,world
shelf_9,13.3818 -16.447800000000001 0 0 0 0,world
shelf_10,13.3818 -14.1028 0 0 0 0,world
shelf_big_1,13.982100000000001 15.319000000000001 0 0 0 0,world
shelf_big_2,6.1977700000000002 -12.964700000000001 0 0 0 0,world
shelf_big_3,0.59437600000000002 -12.964700000000001 0 0 0 0,world
shelf_big_4,-5.3628400000000003 -12.964700000000001 0 0 0 0,world
qr,-4.9 -4.5 2.2 0 1.57 0,shelf_big_4
qr,-4.9 -5.4 2.2 0 1.57 0,shelf_big_4
qr,-4.88 -6.3 2.2 0 1.57 0,shelf_big_4
qr,-4.9 -7.2 2.2 0 1.57 0,shelf_big_4
qr,-4.9 -8.1 2.2 0 1.57 0,shelf_big_4
qr,-4.9 -5.4 2.81 0 1.57 0,shelf_big_4
qr,-4.9 -6.7 2.81 0 1.57 0,shelf_big_4
qr,-4.9 -7.9 2.81 0 1.57 0,shelf_big_4
qr,-4.87 -8.98 2.2 0 1.57 0,shelf_big_4
qr,-4.87 -9.95 2.2 0 1.57 0,shelf_big_4
qr,-4.87 -9.95 2.75 0 1.57 0,shelf_big_4
qr,-4.87 -10.79 2.2 0 1.57 0,shelf_big_4
qr,-4.87 -11.74 2.2 0 1.57 0,shelf_big_4
qr,-4.87 -12.58 2.2 0 1.57 0,shelf_big_4
qr,-4.87 -12.58 2.75 0 1.57 0,shelf_big_4
qr,-4.87 -13.49 2.2 0 1.57 0,shelf_big_4
qr,-4.87 -13.49 2.75 0 1.57 0,shelf_big_4
qr,-4.87 -14.30 2.2 0 1.57 0,shelf_big_4
qr,-4.87 -15.08 2.2 0 1.57 0,shelf_big_4
qr,-4.87 -15.08 2.75 0 1.57 0,shelf_big_4
qr,-4.87 -16.73 2.2 0 1.57 0,shelf_big_4
qr,-4.87 -16.91 2.2 0 1.57 0,shelf_big_4
qr,-4.87 -16.91 2.75 0 1.57 0,shelf_big_4
qr,-4.87 -18.03 2.2 0 1.57 0,shelf_big_4
qr,-4.87 -18.03 2.75 0 1.57 0,shelf_big_4
qr,-4.87 -18.77 2.2 0 1.57 0,shelf_big_4
qr,-4.87 -18.77 2.75 0 1.57 0,shelf_big_4
qr,-4.87 -19.05 2.2 0 1.57 0,shelf_big_4
qr,-4.87 -20.60 2.2 0 1.57 0,shelf_big_4
qr,-4.87 -20.60 2.75 0 1.57 0,shelf_big_4
qr,-4.87 -21.30 2.2 0 1.57 0,shelf_big_4
qr,-4.87 -21.30 2.75 0 1.57 0,shelf_big_4





